sentiments,cleaned_review
neutral,keyboard range inches minutes game time responsive likely chat moved time keyboard decides start inputting typing less week
neutral,bought use sims playstation required zero setup right box need mess settings anything
neutral,lasted months light use would longer turn keys already started sticking
neutral,month connection became finicky constantly cutting time typing nightmare constant unread inputs look else
neutral,even dongle clear line sight keyboard constantly locks wireless mode use gaming fact use anything
positive,quiet backlit backlit lights turn save power wake key press looks nice clack like mechanical keyboard
neutral,gaming
neutral,lasted months
negative,fiance barely used keyboard shes controller player rocket league probably less keystrokes day keyboard dead month week
neutral,used working
neutral,nice quality
positive,got use laptop hooked works perfect needs
neutral,supposed
positive,keyboard excellent would buy use gaming complaints regard set another separate room bedroom connected via foot hdmi power cables even wall still manages get good reception minimal lag occasionally positioned really far away bedroom bed rather gaming chair brief noticeable lag turn turn goes back normal issue problem people since likely room want like noise however small makes biggest issue keyboard sound makes rgb high pitched squealing sound goes away soon rgb turned problem since care rgb one bit prefer saves battery everytime keyboard turns rgb automatically hence sound immediately turn turn everytime minor inconvenience probably turn anyways since turn lighting save battery sound noticeable loud computer fan anything since high pitched notice
negative,take charge charge light kept turning bad keyboard lighting stay defeats whole purpose disappointed returning product
positive,arrived slight crack picture crack front keyboard attached keyboard purchased son help school home since excited use would helpful since pandemic want ding around going someplace return want without far works light colors make interested using possibly translates better timely job schoolwork hopefully crack cause fail sooner expected
positive,klim wireless keyboard like quite bit work space rather limited find handy pick keyboard move way multi tasking also handy keyboard lights eyes get tired often forget put glasses light keys helpful wish switch handier place however however gamer know might rate category otherwise like keyboard reasons weight size price overall usage
positive,smooth feeling keys nice design
positive,got boyfriend wanted gaming keyboard wire time mail looked like returned item tape trying keep box together came original packaging makes sense plugged turned see lights low lights interfering visible night darkness left charge instructed never charged lasted minutes keyboard connected laptop saw devices type send sort input overall good buy part gift gamer boyfriend hage wires liked lasted
negative,tested latency keyboard also goes sleep every seconds dont know change deal killer space enter key horrible extremely mushy ive around keyboards since windows know talking
neutral,flashing lighted keyboard wholly separate laptop performs task needed big smiles
neutral,like rechargeable battery part bought gaming grandson happy soon buying one replace aging keyboard liked wireless keyboards hated replacing batteries
positive,play games like world tank blitz uses wasd control lot keyboard really helps reduce load original laptop keyboard however keyboard battery life long need charge probably every days play hours averagely plus friendly helping talking typing since arrangement always makes type lots typos
positive,awesome product awesome company rechargeable rainbow keyboard yes please definitely bang buck
neutral,purchased item play world warcraft also use wireless mouse keyboard work game mouse usb also plugged wrote klim helpful probably return work
positive,wished keyboard brigther good
positive,spend dollars better solid keyboard
positive,worked great week first charge ran plugged charge attempted different cable different port different outlet nothing worked junk returning buying different brand
negative,cheap made useless keyboard range horrible sleep mode activates way soon lights turn second leaving guessing key press using dark battery horrible lighting horrible bother one unless year old
neutral,great bad things point change rgb color
positive,use everyday use mainly wireless capabilities since working remotely lately fits needs perfectly definitely recommend
positive,boredom ordered one gaming keyboards one klim got head gamer must say tangible cool factor battle ready keyboard everything spirit gamer air science fantasy email coworkers something really mundane aside else klim offers keyboard nice quiet accuracy old keyboard turning lights home office typing colorful keyboard cool
positive,son loves think every kid games one works great
positive,klim fantastic company never heard purchasing keyboard ties trouble dongle connecting keyboard box klim technology support service amazing went beyond service friendly fast keyboard awesome daughter said keyboard nice wants type things even work done great gaming looms feels great promote things klim fantastic company
neutral,works advertised exactly wanted
positive,like excellent use
negative,died right day return window ended edit customer service sent replacement
neutral,product works described
neutral,great gaming however completely died less month purchase full charge even turn connected power stopped working using keyboard mid game matter good product much use work
neutral,says wireless keyboard internal rechargeable batteries get low recharge however provide recharging cable apple iphone user none cables work tried going website get info charging none found
positive,works perfect notice volume font work keyboard tho
negative,worked great months regular use gotten glitchy sometimes stops communicating computer battery last long anymore become horrible gaming currently shopping new keyboard
positive,love vibrant colors fixed transition colors like keyboard overall extremely simple use zero issues product
negative,ordered today keyboard longer charging plug keyboard charges seconds stops regardless whether keyboard
neutral,think kind disconnects sometimes unless laptop
negative,mad keyboard broken letters numbers know sent quality keyboard disappointed keyboard used days good damaged hope read comment refund
neutral,playing games get extreme key lag would recommend horrible keyboard tech support bad
neutral,battery finally died first time weeks sets bar pretty high resistance perfect loudkeys bright enough cool visible blinding dark charges relatively fast use charging first delivery show amazon worked
positive,works great game chatting love
positive,use game means extreme hard core gamer works fine sit couch play witcher light feature nice want one customize look elseware budget keyboard works well
positive,greatest typing numbers thought would good night time solution see number buttons light dim well numbers printed small keyboard found battery life lacking well
neutral,really cool stopped working return
positive,pretty solid keyboard quiet nice feel seems constructed well
neutral,enjoyed using keyboard one big problem seem running battery life wireless keyboards last week recharge using one time recharge multiple times week sure backlight draining battery much seems like major difference keys sometimes stick seem respond unless press hard
positive,used better controlled lights keyboards wired wireless one works though feels great touch
neutral,press key activate lighting unlike keyboards touch big problem press ctrl key fire
neutral,despite feet computer usb adapter keyboard unit disconnects constantly okay rts games literally unplayable anything requires constant use keyboard buy keyboard
neutral,want keyboard backlighting keyboard stay backlit minute used annoying instructions programming stay change anything regard sent back returning tried true logitech
positive,small technical issue keyboard klim went beyond business worked amazing company keyboard good stuff
neutral,plugged wireless typing got duplicate strokes strokes basically treat like severely lagging typed slow returning tomorrow
positive,love new keyboard
positive,sometimes keyboard lag type fast either type slower average keyboard user like easier see typing dark
neutral,batteries really long life needing recharge
neutral,stopped working months
neutral,hate sleep mode gon put otherwise keyboard alright cheap plastic one pieces broke checking space bar managed
positive,keyboard works fine able maintain connection battery life fine spring ever supporting space bar improved feels weak need make sure space bar pressed certain area register command fine web browsing working word documents however burdensome playing games
positive,son enjoyed used gaming
negative,suddenly died nowhere purchased march started first build currently response keyboard wireless wired mode tried using several machines make sure works fine beginning long term
positive,love keyboard far hope disappointed
positive,perfect would like see much battery life left
neutral,nice quiet sensitive like works
neutral,good response
positive,life talk making typing way accurate fast great keyboard easy charge charges quickly colors lovely bright
positive,good keyboard nice touch brightness
neutral,like smooth keys light color combinations
positive,keyboard great work home son bedroom mornings nap time work complete darkness keyboards brightness perfect adjust monitor brightness high fact rechargeable type makes ideal charge phone well far gone days without charge keyboard excel shortcut junkie issues looking forward continue using keyboard
positive,recently bought keyboard less three days ago despite fully charged constantly turns stutters try use wow press key move forward character take step stop seconds take step hold key waste money
neutral,bought son use xbox also uses school laptop says issues likes quiet keys
neutral,beautiful keyboard automatically recognised windows charge port type charging wire accompanied package update charged check ammeter current flow keyboard need connect charging cable use keyboard
positive,expected considering expensive keyboard ever bought customer support useless lights cool worked consistently another piece chinese made garbage amazon least learned lesson recently buying stuff like lost value year worth prime poorly made products like oof learning experience guess buy logitech something reputable
neutral,keys light brite
neutral,worst keyboard ever owned far typing right middle every thing freezes takes minutes catch work games waste money trash
positive,third try wireless backlit keyboard first two different manufacturers first two consistently duplicated omitted many keystrokes finally found one expected adjustable brightness backlight works fine keystrokes accurate key profiles tall products category good think matter found taller keys others annoying like somewhat minimal footprint full feature keyboard space desk limited use gaming sometimes get middle night work call adjustable brightness backlit keyboard welcome feature turn room lights two minutes computer work overall pleased
positive,easy see dark great feel keys good battery life would buy
neutral,wireless connectivity pretty bad keyboard desk away tower ground shift keyboard far result loss keystroke recognition connectivity intermittent likely return one
neutral,absolutely loved key board months work thought battery died plugged still turn back
neutral,keyboard great working six months later work
positive,lighting nice key soft kind know wut mean
positive,best
neutral,got far amazon love colors thing slightly disappointing quickly lights typing wish option leave lights longer
negative,nothing special keyboard fond manufacturers website adding review less year use battery failing one issues forced keyboard lighting way turn keyboard saw heavy use main function wireless hampered poor design reducing review reflect issue testing recommend product
neutral,able use missing dongle contacted klim awaiting replacement dongle mail edit issue pleasantly handled
neutral,loud definitely quiet
positive,keyboard linked laptop immediately turned backlit color cool however buttons keys flimsy feel like quality keyboard look nice
positive,gaming cool lighting son loves
negative,battery life good followed manufacturer procedure initial charge frequent disconnect usb adapter lighting good thing constantly missing keystrokes typing right write claims quite typing nope get either hard hearing annoying would look somewhere else returned
neutral,like cause quiet
negative,new keyboard came seal broken dongle missing rendering keyboard useless looks like might decent product really confident distributor
positive,keyboard great much quiet others gaming keyboards issue power port flimsy stay connected adequately
positive,like feel keys colors brightness
positive,bought keyboard replace old one daughter spilt drink keyboard worked perfectly keeps long charge easy move around home office set kitchen table daughter also uses school love bright lights enough see keys needed would recommend anyone kids needs move around work area frequently
positive,enter button huge issue love keyboard except place shape enter key finger hits button enter button time keyboard perfect everything else get passed part returned keyboard ordered klim light rechargeable wireless keyboard layout one fix enter button issue
neutral,worked great first week stopped holding charge working second week sent back month worth effort charging full work hours even plugged charging using even possible work around bought different brand using months without issues waste time wireless keyboard
negative,waist money first one stopped working month replacement died weeks
positive,dropable like
positive,perfect wireless gaming son
positive,keyboard looked great amazon pix great reviews unfortunately never got around actually trying days return window closed hate thing never use several reasons actual keys light areas underneath dim bright distinguish changes use brightness keys static breathing change press keys
positive,absolutely love exceeded expectations highly reccomend
positive,keyboard looks feels really nice nice quiet like rainbow color display game much really opine quality imagine feel reach nice although big enter button might throw little bit used layout kept hitting insert key instead backspace time time screen display two daisy chained monitors using displayport one using hdmi noticed regular position desk seemed type fine screen somewhat delayed buggy input screen perhaps due distance dongle response moved dongle keyboard top tower instead back side still accept input keyboard even feet away computer top seeming properly respond screens large drawback wireless keyboard especially paid cheaper logitech worked fine feet got one died three years later day model seems discontinued want like works great wants problems first week worth paid almost never return anything think gon
positive,works well keys light nicely
negative,love keyboard works looks great warning anyone else small hands little hard use find stretch quite bit hit wrong keys much frequently keyboards
negative,pretty keyboard battery life extremely disappointing plug recharge times arrived days ago
neutral,constantly lags stops working trying type even battery full
neutral,keys fairly quiet space bar appears anchored one spot clicks press calling keyboard silent false advertising also problem using left ctrl shift keys keystroke sequence like clearing cache opening incognito window regularly need work right ctrl shift keystroke works though like battery life backlight returning looking something different
positive,great keyboard keys quiet travel far pressed lights well enough seen clearly dark despite make plastic instead aluminum seems fairly sturdy said keyboard old school computer programmer keyboard day long prefer loud clicky keyboard reminiscent old ibm keyboard keyboard nothing like extremely quiet keys travel far pressed looking borderline typewriter feel keyboard gaming great keyboard clearly matches marketing keyboard looking
positive,purchased son gamer picked research amazon really enjoys every aspect keyboard lightweight therefore taken abroad
positive,months stopped working none key functions work keyboard fully charged read negative reviews like others said stopped working right return window closed also cost lighting stay constant hit key come charge way much piece garbage amazon needs give month window returns guess stick best buy electronics could gave less one star would
negative,wanted stars slight issue design keyboard may best keyboard owned really broken darn many unfunny model yet main gripe whole function key right side horrible consistently used handed volume media controll may bought wrong keyboard options one bought bucks pleased due may work wonders non media junkie
neutral,months several keys stopped working would recommend
positive,nice response lag delay fantastic keyboard
positive,arrived well packaged special note included made laugh worked immediately box single issue far week
positive,good keyboard caveats order personal importance key layout different typical keyboards used past years backlighting dim brightest goes quickly maybe way make persist till timeout period keys tad squishy otherwise feel okay
positive,year old daughter loves addition gaming desktop
neutral,keyboard great general usb receiver broke usb port months really either include one receiver make robust higher quality
positive,cool looking feels great
neutral,keyboard light feel cheap never detected dell computer sure software windows keyboard would light dark tried typing manual explain anything keyboard supposed automatically detected work vic mouse redragon keyboard work fine returning refund stick wired
negative,keyboard stopped working terrible keyboard doesnt function shows description avoid product way overpriced klim support also terrible
positive,ill start cons unresponsive sometimes doesnt tell battery low indicator youre playing intensely stops sudden pissed little keyboard sound like mechanical make sound depends heavy type customize rgb fixed pros keyboard lights wont bother play lights keyboard lights modes cool steady pulse lights also adjust light low high rechargable usb type cable bluetooth connector charged lasts quite long play casually days without charging goes sleep mode use lightweight always put lap since connected always play bed budget friendly good keyboard youre ready razer corsair type peripherals looking budget friendly one give keyboard try update returning keyboard faulty quotation mark got switched becoming unresponsive got days ago well update battery lasts days max used casually changing review star dont recommend better look something else really invest good brand gaming keyboard instead waste time money little feature
positive,game find fair give reviews factor keyboard great working home days never seem end keyboard needed especially working night
positive,like head states windows key longer functions also particularly appreciate lights keyboard stay illuminated seconds work three monitors need functioning windows key move guessed windows around using shortcut windows shift arrow key figured changed different house issue went back wired keyboard problems another keyboard junk pile
neutral,opinion keyboard product worth money various key functions work
neutral,dark living room see keyboard one glows neon colors makes easy see typing cordless allows sit couch play games type mails etc without restrictions best one yet
negative,good looking keyboard rainbow colors see get selection one color available although brightness settings adjustable nice critical issue said nice looking keyboard functionally couple issues immediately apparent first enter key picture attached notch shared key constantly hitting enter resulting failed passwords clutters chat messages minimum take time get used hit enter key alone another issue seems battery life instructions indicate hours charge accept accept life battery short time keyboard died twice within day getting full charge sleep function either broken poorly designed regard maintaining battery life keeping wired provided cable without keyboard dies plugging power source enough battery dead power gotten enough charge respond connected via usb cable makes online instantly overall poor technical design complaint could adapting laptop keyboards mechanical desktop keyboard typing keyboard continues feel clumsy writing review took moment look closer keys keyboard probably good smaller surface area either laptop typically use adds closeness keys constantly key typing normally feel alone square key base versus pyramidal shape keys would make bigger tolerable may ultimately force try another keyboard send one back
neutral,keyboard looks feels nice use however barely uses keyboard encountering connection issues open web browser start typing nothing happens turn wait seconds start typing doesnt type seconds registered letters times functions properly unrealiable
neutral,bought working home like room dark needed lighted problem light shuts seconds inactivity option stay stay longer
neutral,keyboard lit charged tried multiple usb ports rebooted computer also tried another computer want seem connect wirelessly also attempt get work thought possibly wiring computer using charging usb port might work wirelessly went amazon tech returning product think ill looking another brand still need wireless backlit keyboard
positive,works fine lights little dim big deal really wanted looked cool wireless old key board pretty noisy one looks cool noisy english teacher use computer study hall still makes lot noise quiet room
positive,love keyboard exactly wanted
neutral,great gaming keyboard bright thought would
positive,beautiful keyboard
negative,real complaint every time actually turn switch switch back goes back full lights personal preference know turn lights occasionally also know positioning colors changeable pulsing ability change lights fine might bother people
positive,needed keyboard backlit want plain white use desktop computer since working home speak gamers job great colors really pop adjust brightness turn color together happy purchase
positive,nice wireless keyboard bought replace logitech wireless got banged around last couple years minor gripe wish bit margin around edge often hit key accidentally picking light weight wise lighted keypad great dark rooms
neutral,keyboard great keys little louder like got used within hours
positive,love thing easy use really light good feel keys nice quiet wonderfully helpful small company makes affordable well made equipment
neutral,listen job keyboard multicolored lights fixed make white times actually impossible see characters keys dealing glare monitor
negative,buttons smooth space bar reason loud gets annoying typing sounds like loose
negative,one day connection issues terrible towards end even type anymore charged nothing utterly truly sucked save dollars patience
negative,liked keyboard large hands good fit
neutral,keyboard goes work stops stop working buy call warranty told make claim provide wrong site claim submitted clothing rep refer another site amazon useful either
positive,seems like solid keyboard far build quality lighter would like solid enough
positive,nice keyboard overall tactile feedback pleasant although like placement key colorful backlight cool keyboard shortcuts simply work ctrl shift example work use left ctrl shift keys pretty outrageous since common shortcut used many apps operating systems keyboard apparently known issue keyboard know klim sell keyboard known defect without warning
neutral,stopped working months light use also hold charge long wired usb port charging rechargeable batteries replaced would buy manufacture
positive,issue original usb cord working contacted customer support provided extremely generous resolutions battery lasted month without changing would absolutely buy company
neutral,product sold used listed new
positive,glad found light wireless keyboard home office get used typing works looks great
negative,awesome died abuse anything bad end totally stopped working months bummer
neutral,usb dongle fell apart shorted computer would work would notlet computer sleep mode less year normal use
neutral,works well doesnt click super loud like hear loud holds good charge
neutral,unable recharge due damaged port
positive,goes perfect set
positive,update usage used keyboard almost everyday whole year mostly work rather gaming still like new one day switch laptop work forgot take usb receiver turning unfortunately retrieve beating going back using laptop keys highly excruciating decided take chance ask usb receiver replaceable customer service phenomenal rep communicated throughout process ever played hot potato customer service know amazing feels always responded pretty quickly emails never lag time hiccup ran beginning searched customer service portal amazon initial link connected klim technical riding gear rather klim technologies however gave correct email address immediately smooth sailing told usb receiver replaceable yayyyy part backorder happy know able continue using keyboard willing wait month later provided update part still backorder going send new one arrived promised back typing comfortably lightening speed got used couple hours thoroughly impressed keyboard smooth buttons smooth typing comfortable feel full sized buttons number key pad presentation also impressive black little envelope seemingly personalized note little flare makers open box love quality keys make obvious great game play keys feel light smooth fingers type hope lasts forever
neutral,iove sleep mode turns keyboard used would still recommend turning use
positive,loved keyboard months certain keys stopped working wish could return
positive,good looking keyboard son love color dual used cord without cord
neutral,got keys
neutral,first foremost keyboard almost year first keyboard received doa anyone knows much electronics knows sometimes contacted customer support within week new keyboard initially amazing saw issues time went stopped charging properly believe computer long hours every day work home game night charge night keyboard set lasts whole day normally even sometimes overall times even plugged shuts randomly making gaming hard klim reading would suggest two things add way show battery charge keyboard upgrade battery stability keyboard year acting like one faulty year later reading would suggest keyboard unless use hours day simply built feels like
neutral,good response rate wireless keyboard delay unnoticeable people
positive,guess realize rechargeable take batteries daughter loves
positive,exactly son wanting great price usual fast delivery
neutral,good recomend keyboard
positive,sleek keyboard wireless however lasts quite time recharge performs well lightweight soft keys lights absolutely beautiful
positive,stays battery dies less days unlike advertised keep plugged know guys isnt hate thing sorry say high hopes
positive,year old son loves lights match led desk mouse pad lights lenovo legion gaming mouse along legion laptop works well virtual school year online gaming overall great purchase
positive,features easy use keys easy see
positive,nice keyboard come charged plugin works fine quick sleep mode touch keyboard lights come like hope change able yet overall smooth type loud
positive,pro excellent backlighting lock keys indicators usually seen wireless keyboards including logitech microsoft keyboard great crisp positive feel battery replace perfectly sized desk trays con sure battery low indicator battery run expensive
positive,nice love different color light within keyboard light typing
positive,love overall since laptop keyboard bit sticky reason using keyboard actually bit bigger keep missing enter button time overall love
neutral,updated five months use keyboard suddenly died reason tried troubleshooting could turn turns half second turns back guess get pay last long whatsoever original review looking wireless gaming keyboard loud backlighting perfect keyboard expect price two things would change second version would make rgb bit versatile customizable save little battery make keys feel little clicky hard feel key went sometimes overall love weight durability slick look knocked two things picky point
positive,keyboard awesome price keys feel really natural quality product batteries last super long keep plugged would recommend looking affordable gaming keyboard
positive,good entry level keyboard job wish light stay turn touching long time great add klim items
positive,nice little keyboard purchasing typing gaming keys quiet seemed responsive care short using wrist rest angle hands downward reach keys use wrist rest would recommend keyboard
negative,bought awhile ago start setting home office need right away set box aside pulled weekend discover keys work correctly multiple keys stuck together typing displays example keyboard essentially useless examine right away return window expired stuck junk work lesson learned
positive,solid keyboard feels light less substantial previous wireless comfort keyboard still going strong years also feels soft touch material key presses think part waterproof design really bought smaller footprint previous keyboard full size keyboard requires substantially less desktop space makes difference use backlighting typing night want harshness overhead light even lamp sometimes backlighting great fine multi color option turn day also dimmer works great work weird editing text often use ctrl shift arrow keys highlight large chunks text time far works keyboard using ctrl shift keys left side together right side together fully work use right ctrl left shift right arrow keys weird would much preferred standard sized carriage return enter key youngins press enter pinky travel much farther takes noticeable effort old school reverse shaped enter key king hope maybe version correct would worth buying change alone still getting adjusted slightly new layout key response typing fast yet find soft key press business press little aggressively get space bar instance register slight noticeable whether think good thing definitely needs palm rest sensitive hands wrists may still prefer design curved keyboard swear curved split keyboards make difference use gaming comment imagine responsive enough
neutral,solid key board warning dies lasts long time charges like
positive,super quiet keys great feeling makes setup look extra clean without wires
positive,excelent product thanks funny instructions thanks lot
positive,first keyboard everything wanted wireless keyboard always skeptical wireless keyboards worked wonders first started work would random connection issues would register typing seller kind enough send second keyboard even issue happening really think issue many wireless electronics nearby never found issue however gave star rating well worked customer service leave many reviews seller really deserve credit great customer service experience well making great product however unfortunate work even kind enough send gift inconvenience gave coupon voucher products excellent service
neutral,like back lit keys keyboard really short battery life charge times week use day
positive,wireless keyboard purchased one lagged typed sometimes would sit half minute could start love keyboard everything need love fact charge never needs batteries replaced
positive,product arrived undamaged box details keyboard back upon opening box keyboard small envelope user manual several languages keyboard wireless connector back power switch turn inside envelope note shipping processed along branded stickers keys keyboard work well make nice clicking noise overall happy product would happy get products brand
positive,first mention buying probably want spend arm leg gaming keyboard however definitely get pay using keyboard months though comfortable bright others gets job done really care much light features fading mode breathing mode biggest problem brightness light room well lit definitely tell rgb lit bit dimmer expected night hoping clearly see major change color keys keyboard keys allow lot light transparent plastic key see color clearly keys much key improvement suggest would make keyboard slightly less harsh hands hours typing increasing maximum brightness keyboard besides battery fine price still use keyboard battery dies plugging pretty convenient like said get pay fine klim pretty well keyboard lasted several months without major issues
positive,best rgb keyboard value find size jsut perfect big slow
positive,responsive keyboard love multi color lights also like pretty silent press keys compared keyboards
positive,like much rgb wireless keyboard batteries last forever beautiful color brightness silent love
positive,product loos great feels awesome however experiencing huge issue comes keyboard responding typing turn keyboard plug usb cable sometimes still acts enter key frustrating checked see device drivers anything updated system manufacturer website etc still experiencing issue anyone know resolve product would definitely receive tar rating
positive,great wireless keyboard xbox one
neutral,many functions many programs use ctrl shift ctrl shift work way keyboard unexpected totally unacceptable behavior keyboard key combinations intrinsic many functions windows time return refund darn liked size feel functionality compromised need working keyboard crippled one
positive,finally find good replacement old wireless keyboard one good tried using play dark souls even keyboard meters away still responsive playing game satisfied return time certainly stars item
neutral,really like keyboard keys soft back light colors bright
positive,update still liking keyboard months daily use two issues button location terrible mostly used point still accidentally press instead enter time although battery life good indicator low battery means keyboard unexpectedly stop middle typing dead using keyboard daily past three weeks use hrs day work week charge twice since getting pretty good means silent keyboard much quieter previous keyboard disruptive office mate husband reasonably fast typer wpm keyboard responsive expect blow mind pleasantly surprised quality getting less
negative,keyboard definitely quiet enter key awkward position learned type hunt peck constantly hitting slash key rather enter key gets frustrating trying type reports documents nice look kids thought cool colors sadly returned due practical needs
positive,used months worked great first would die hours using pretty good plugging using sometimes straight work gets pretty frustrating even try keep power chord plugged turn still work inconvenient point turn keep plugged take break whatever
positive,received keyboard defective dongle talk customer service nice helpful received new one weeks later new one doesnt work either looked sync keyboard many attempts wont work sad keyboard looks cool would much like use maybe luck getting defective receivers
neutral,things hate keyboard mentioned reviews overlooked product made usa even though american flag displayed suggesting supplied cable feet long insert fully keyboard factor price foot cable insert finally keyboard lights time minute non use even leave plugged battery life issue
positive,great colors son loves easy push keys great size
positive,bought xbox one works great looks beautiful
positive,buy game use macbook connected multiple screens liked lit keys find hard push comfortable guess could used mac keyboard hard keyboard supposed function would like stay lit time breathes lights breathing guess understand like would recommend though relatively plug play even mac works lot better sure windows systems functions keys
neutral,quick working one month
neutral,love keyboard poor eyesight get key touch typing letters keys big enough trouble seeing also keypresses quiet
positive,solid green back lit keyboard stopped working wanted another solid color could find one bought one multi color back light say like better also keys feel much substantial switch like well works decent distance also recommend
neutral,window passed return used week really need press buttons get work irritatingbetter action cheap corded board
negative,like light weight wireless battery life good bad today buttons stopped working tried laptop results guess since return window try contact company see service open see gone wrong disappointing keyboard lasted months buy
positive,brought son loves takes everywhere
positive,really nice feeling happy keyboard
positive,absolutely love keyboard perfect everyday business use well gaming time
neutral,purchased back november thought keyboard would lasted lot longer first purchased keyboard worked fine month stopped working gave message saying bluetooth software outdated went klim website update bluetooth downloading file work connected keyboard another still would work literally keyboard stopped working month due bluetooth outdated compatible waste money
neutral,ordered may key stopped working end july
negative,works well call quiet shame main reason bought product
neutral,keyboard works wireless setting usb cable allow wired connection
neutral,lasted whole weeks quit working started acting finally quit would recommend
neutral,keyboard initially works well minutes type one text appear write several things mark text fault affects work regarding colors two lighting modes first never turns without colors keyboard second turns thought lighting color color write provider help key problem depend qualification
positive,great keyboard feels looks good comes nice little note quiet little small inches inches connects quickly holds good charge customer service outstanding happy warranty policy gave brand new keyboard mine stopped working need gaming keyboard one
positive,keyboard looks feels amazing really appreciated company little deals underrated
positive,keyboard remains responsive perfect working order month regular use fancy logitech gaming keyboard bells whistles prefer quiet keys klim quiet mean unresponsive case keys feels sturdy satisfying love uses usb charging wired gaming battery life surprisingly long
positive,pros everything keyboard really good keys super quiet like advertised gaming setup right next bed play night wife sleeping wake silent keys rgb light brightness controls awesome allows keep keyboard bright enough see dark without blinding wife sleeps game night color tones rgb lights nice pleasing look cons keys feel sticky every press feels sticky substance holding keys fraction second depressed little big deal gamers might find annoying two rgb light options choose breathing effect constant back lite would nice lighting effect options
positive,looking buy products seller packaging great happy keyboard easy type fits style simplistic yet modern look feel
neutral,handy keyboard
positive,awesome keyboard
positive,alot keyboards time one far best use quiet love sleep mode nice lights nighttime use
negative,bought wireless keyboard expecting able use keyboard couch probably away computer max get feet away terrible dongle starts lose connection using usb extender xbox one controller dongle far rest equipment could make direct line site klim keyboard still dropped connection completely feet definitely okay keyboard sitting desk right next computer needless say disappointed
positive,love great keyboard great price hesitate buy
positive,nice looking keyboard nice type easy connect mac type anything properly extra key near enter button enter return usually
positive,easy setup use nice addition studio setup progress
positive,happy keyboard really like quiet keys comfortable works great lights keyboard create nice atmosphere find usb port switch underside keyboard
neutral,issues use leds cycle work fine
neutral,week charge initial setup breeze primary use late night console gaming limited ambient lighting brightness right usage making keys easy see use switching consoles also breese
positive,everything seems great far
negative,udpate use control shift together left side keyboard quick tab opens window movement abusrd error favor buy different keyboard keyboard hits nails except spacebar seems made entirely different plastic rest keyboard distractingly loud working office environment likely get looks workers ruins entire keyboard experience
neutral,enter backslash keys traditional locations bad really liked travel keys
neutral,comment
positive,love keyboard works great xbox one happy see usb type charging port first klim purchase seeing quality keyboard reading note came definitely going last
positive,love power save mode
positive,great product great response questions
neutral,wish came detailed user manual things mentioned booklet
positive,great product one injured wrist makes everything much easier make sure charge keyboard first put good use time still running smooth love connectivity works colors awesome
positive,mine worked first lights attempt type register keys work gaming like hoped ordered little month ago barely works really sad purchase would recommend buying higher quality keyboard
positive,wish sleep mode bit longer worry drains battery life bit first one received needed replaced month however love keyboard contacted seller via official website amazon sent replacement free charge great customer service use keyboard hrs day work week usually charge every day nice still use charging realize loud original office keyboard first one died even messaged coworkers apologized keyboard quieter original dell keyboard choose would buy wired keyboard worry charging really love keyboard easy adapt love colors love layout lolita customer service best
neutral,product great started work past sunday july got back may doesnt turn anymore charge charged one time charging cord since ive got
positive,keyboard pretty good key stroke little long liking grown accustomed hard press keys first missing lot letters onscreen like week typing became easy
neutral,keyboard looks feels great issue times typing using keys really stops responding good lead charge indicator turns fully charged still turned wireless connected via usb still happens ultimately would recommend kinda need use keys times
neutral,keyboard literally worked three seconds shut
negative,product died months longer take charge dead
positive,love keyboard easily see keys dark lighting effect calm inspirational
neutral,amazing bought dad see keyboard end gaming instead
positive,liked died month contacted klim run tests deciedef replace give refund responed found email address good tried several times several days different emails thing even came back using email tool webpage contacted amazon gave refund amazon great dont know happened klim
neutral,hit key also types key keys even near
positive,keyboard feels good typing accurate backlight good touch good touch allows typing dark places size good complain keyboard silent even though advertises unless words per minute typing silently
negative,good looking keyboard wireless short usb charging cable barely reach desktop usb port front computer also wfh like many right tax accountant accuracy everything type keyboard lag matter whether charger type wpm keep due lag also misses many digits key keypad due lag unnoticed typo zip code irs form new boss happy missed course except lag almost lost new job keyboard charged start freeze lag generally miss numbers letters realize need put charger plug working next thing know hour later starts thing need take charger another hour need put charger terrible never problem charger ever wanted return product cheap looks like option return purchased hullabaloo starting new job realized slipping exchange return window waste
neutral,turn night light backlit keyboard sufficient enough see keys letters numbers touch keyboard quiet enough roommate sleep soundly
positive,really looks works great see holds
positive,using microsoft edge concerned keyboard work reading compatible simply plugged usb charging went work right away love lighted keys although gamer working late night price give stars
positive,rugrat loves
neutral,cool cheap however know buying keyboard cheap battery life good
neutral,bought keyboard twice months ago weeks ago two computers one work one personal use times moved usb port one computer another received error computer recognize usb tried internal usb ports along hubs computer make mistake made give product first chance
negative,love clicky ness love backlit lights extremely upset got keyboard usb plugin bluetooth yet cord charge keyboard came instructions keyboard plugin may return set time setting lights frustrating waste time
